,propietario_casa,cant_carros,niños_total,ingreso_anual,comprador_bici,gasto_mensual_medio,edad,escolaridad_Bachelors,escolaridad_Graduate Degree,escolaridad_High School,escolaridad_Partial College,escolaridad_Partial High School,ocupación_Clerical,ocupación_Management,ocupación_Manual,ocupación_Professional,ocupación_Skilled Manual,género_F,género_M,estado_civil_M,estado_civil_S
27,1,3,2,104187,1,51.15,58,1,0,0,0,0,0,1,0,0,0,0,1,1,0
28,0,1,0,78222,1,53.53,40,1,0,0,0,0,1,0,0,0,0,0,1,0,1
29,1,2,1,77383,0,50.59,37,0,1,0,0,0,1,0,0,0,0,1,0,1,0
30,1,1,2,60700,1,49.29,39,0,0,1,0,0,0,0,0,0,1,1,0,1,0
31,0,0,0,30913,0,49.0,43,0,0,1,0,0,0,0,1,0,0,1,0,0,1
32,1,2,0,86952,1,54.71,45,0,0,0,1,0,1,0,0,0,0,1,0,0,1
33,1,2,2,58567,1,55.64,45,0,1,0,0,0,0,0,0,0,1,0,1,1,0
34,0,0,0,77478,0,50.55,26,0,0,0,1,0,1,0,0,0,0,0,1,1,0
35,1,2,1,78406,0,50.16,35,1,0,0,0,0,1,0,0,0,0,0,1,1,0
36,0,1,0,85318,0,51.02,33,0,0,0,1,0,1,0,0,0,0,0,1,0,1
37,0,0,0,52928,1,52.17,27,0,0,1,0,0,0,0,0,0,1,1,0,0,1
38,0,2,0,79224,1,52.31,36,1,0,0,0,0,1,0,0,0,0,1,0,0,1
39,0,0,1,33076,1,53.13,40,0,0,0,1,0,0,0,1,0,0,0,1,1,0
40,1,1,2,56641,0,48.89,38,0,0,1,0,0,0,0,0,0,1,1,0,1,0
41,1,0,1,27203,0,52.46,41,0,0,1,0,0,0,0,1,0,0,0,1,1,0
42,0,3,0,77098,0,50.21,37,0,0,1,0,0,1,0,0,0,0,1,0,0,1
43,1,3,2,103200,1,53.97,35,1,0,0,0,0,0,1,0,0,0,0,1,1,0
44,0,2,0,53784,0,50.85,39,1,0,0,0,0,0,0,0,0,1,1,0,0,1
45,0,1,0,25826,0,47.53,49,0,0,0,1,0,0,0,1,0,0,1,0,0,1
46,1,0,1,30925,1,50.48,42,0,0,1,0,0,0,0,1,0,0,0,1,1,0
47,1,1,2,30288,0,50.57,52,0,0,0,0,1,0,0,1,0,0,1,0,1,0
48,0,0,0,34685,1,48.1,38,1,0,0,0,0,0,0,1,0,0,0,1,0,1
49,0,1,1,58213,1,51.99,34,0,1,0,0,0,0,0,0,0,1,1,0,1,0
50,0,0,0,108342,1,51.43,28,0,0,0,1,0,0,1,0,0,0,0,1,0,1
51,1,2,1,130385,1,55.52,36,1,0,0,0,0,0,0,0,1,0,1,0,1,0
52,0,2,0,58227,1,50.76,39,0,0,0,1,0,0,0,0,0,1,1,0,0,1
53,0,1,0,52156,1,47.68,29,0,0,0,1,0,0,0,0,0,1,0,1,0,1
54,1,2,0,131458,1,57.1,37,0,1,0,0,0,0,0,0,1,0,0,1,0,1
55,0,1,0,33510,0,46.25,26,0,0,0,1,0,0,0,1,0,0,0,1,0,1
56,1,1,1,56785,0,51.34,57,0,0,1,0,0,0,0,0,0,1,1,0,0,1
57,0,1,0,58201,0,51.29,30,0,0,0,1,0,0,0,0,0,1,1,0,0,1
58,1,2,1,82359,1,49.64,38,1,0,0,0,0,1,0,0,0,0,1,0,1,0
59,1,2,2,55654,1,50.98,58,0,0,0,0,1,0,0,0,0,1,1,0,1,0
60,1,1,2,33167,0,58.85,43,0,0,1,0,0,0,0,1,0,0,0,1,1,0
61,1,3,1,107883,1,52.81,58,0,0,0,1,0,0,1,0,0,0,1,0,0,1
62,1,1,2,80056,1,53.16,66,0,0,1,0,0,1,0,0,0,0,1,0,1,0
63,0,2,0,54577,1,49.8,39,0,0,0,0,1,0,0,0,0,1,0,1,0,1
64,0,0,1,36070,1,59.05,37,1,0,0,0,0,0,0,1,0,0,0,1,1,0
65,1,2,2,54049,1,54.19,39,1,0,0,0,0,0,0,0,0,1,0,1,1,0
66,0,1,0,112726,0,55.8,24,0,0,0,1,0,0,1,0,0,0,0,1,0,1
67,1,1,2,29749,0,48.95,53,0,0,0,1,0,0,0,1,0,0,0,1,1,0
68,1,2,2,56820,1,55.26,45,1,0,0,0,0,0,0,0,0,1,0,1,1,0
69,1,3,0,102647,1,51.75,53,0,0,0,1,0,0,1,0,0,0,1,0,0,1
70,0,2,0,82258,1,51.48,27,0,0,0,1,0,1,0,0,0,0,1,0,0,1
71,1,1,2,54200,1,55.34,47,0,0,1,0,0,0,0,0,0,1,0,1,1,0
72,0,2,0,60908,1,51.97,28,0,0,0,1,0,0,0,0,0,1,1,0,0,1
73,1,2,0,105007,1,54.5,36,1,0,0,0,0,0,1,0,0,0,0,1,0,1
74,1,0,1,32319,1,48.12,47,0,0,1,0,0,0,0,1,0,0,1,0,1,0
75,0,1,0,52311,0,57.27,42,0,0,0,1,0,0,0,0,0,1,0,1,0,1
76,1,2,0,82851,0,54.25,43,0,0,0,1,0,1,0,0,0,0,1,0,0,1
77,1,1,2,29111,0,53.22,52,0,0,1,0,0,0,0,1,0,0,0,1,1,0
78,1,1,1,81985,1,52.19,35,0,1,0,0,0,1,0,0,0,0,0,1,1,0
79,1,0,0,33954,0,46.19,55,0,0,0,0,1,0,0,1,0,0,1,0,0,1
80,0,0,0,29016,0,45.76,28,0,0,0,1,0,0,0,1,0,0,1,0,0,1
81,1,0,2,33152,1,50.02,57,0,0,1,0,0,0,0,1,0,0,1,0,1,0
82,1,1,2,80331,1,53.77,66,0,1,0,0,0,1,0,0,0,0,0,1,1,0
83,1,1,1,79235,0,51.62,57,1,0,0,0,0,1,0,0,0,0,1,0,0,1
84,0,1,0,35390,0,50.42,34,0,1,0,0,0,0,0,1,0,0,1,0,0,1
85,0,3,0,136457,0,52.17,29,0,1,0,0,0,0,0,0,1,0,0,1,0,1
86,1,1,0,53549,0,53.1,51,0,0,1,0,0,0,0,0,0,1,1,0,0,1
87,1,0,2,85674,1,50.64,42,0,0,0,1,0,1,0,0,0,0,1,0,1,0
88,1,3,2,129242,1,52.48,56,1,0,0,0,0,0,0,0,1,0,0,1,1,0
89,1,1,2,61829,1,52.85,48,0,0,0,0,1,0,0,0,0,1,1,0,1,0
90,1,3,0,111980,1,59.52,39,1,0,0,0,0,0,1,0,0,0,0,1,0,1
91,1,0,1,54675,1,52.61,36,1,0,0,0,0,0,0,0,0,1,1,0,1,0
92,1,3,0,106648,1,53.81,47,0,0,0,1,0,0,1,0,0,0,1,0,0,1
93,0,1,0,58037,0,52.65,31,0,0,0,0,1,0,0,0,0,1,0,1,0,1
94,1,2,1,106062,1,51.69,31,0,0,0,1,0,0,1,0,0,0,1,0,1,0
95,0,1,0,28008,0,56.39,38,0,0,1,0,0,0,0,1,0,0,0,1,0,1
96,1,2,3,86828,0,50.62,64,0,1,0,0,0,1,0,0,0,0,0,1,1,0
97,0,2,0,61109,1,57.61,42,0,0,0,1,0,0,0,0,0,1,0,1,0,1
98,1,1,2,35142,0,47.02,65,0,1,0,0,0,0,0,1,0,0,1,0,1,0
99,0,2,0,59673,0,48.54,26,0,0,1,0,0,0,0,0,0,1,1,0,1,0
100,1,3,2,133272,1,56.63,60,1,0,0,0,0,0,0,0,1,0,0,1,1,0
101,1,3,1,81957,0,50.09,61,0,0,0,1,0,1,0,0,0,0,0,1,0,1
102,0,1,0,103314,0,52.78,29,0,0,0,1,0,0,1,0,0,0,1,0,0,1
103,1,2,0,103546,1,51.61,37,0,1,0,0,0,0,1,0,0,0,1,0,0,1
104,0,0,1,58317,1,48.05,35,1,0,0,0,0,0,0,0,0,1,0,1,1,0
105,1,2,2,55825,0,48.53,63,1,0,0,0,0,0,0,0,0,1,0,1,1,0
106,0,1,0,36367,0,48.33,38,0,1,0,0,0,0,0,1,0,0,1,0,0,1
107,0,2,0,107852,1,54.89,35,1,0,0,0,0,0,1,0,0,0,1,0,0,1
108,1,0,0,105888,0,51.31,27,1,0,0,0,0,0,1,0,0,0,0,1,1,0
109,0,1,0,31956,0,50.51,48,0,0,0,0,1,0,0,1,0,0,0,1,0,1
110,0,0,0,83026,1,50.25,26,0,0,1,0,0,1,0,0,0,0,1,0,1,0
111,1,2,0,110808,1,56.85,37,0,1,0,0,0,0,1,0,0,0,0,1,0,1
112,1,1,2,51566,1,50.94,55,0,0,0,0,1,0,0,0,0,1,1,0,1,0
113,1,3,2,132962,1,54.67,40,1,0,0,0,0,0,0,0,1,0,1,0,1,0
114,1,2,0,135064,1,55.61,51,0,1,0,0,0,0,0,0,1,0,0,1,0,1
115,1,2,0,135997,1,54.2,51,0,1,0,0,0,0,0,0,1,0,1,0,0,1
116,0,1,0,57770,0,49.68,32,0,0,1,0,0,0,0,0,0,1,1,0,0,1
117,0,1,0,113290,0,54.55,31,1,0,0,0,0,0,1,0,0,0,0,1,0,1
118,1,1,2,81214,0,54.11,62,0,0,0,1,0,1,0,0,0,0,1,0,1,0
119,1,2,2,80624,0,49.58,43,1,0,0,0,0,1,0,0,0,0,1,0,1,0
120,1,2,1,106908,0,53.03,58,1,0,0,0,0,0,1,0,0,0,1,0,0,1
121,0,1,0,51796,0,56.24,39,1,0,0,0,0,0,0,0,0,1,0,1,0,1
122,1,2,2,80764,1,52.27,33,0,1,0,0,0,1,0,0,0,0,0,1,1,0
123,0,0,1,35297,0,47.28,39,0,0,0,0,1,0,0,1,0,0,1,0,1,0
124,0,1,0,78604,0,51.54,26,0,0,0,1,0,1,0,0,0,0,1,0,0,1
125,1,3,0,102869,0,57.71,40,1,0,0,0,0,0,1,0,0,0,0,1,1,0
126,1,1,2,62293,1,54.24,48,0,0,1,0,0,0,0,0,0,1,0,1,1,0
127,0,1,0,34607,1,48.11,42,0,0,0,1,0,0,0,1,0,0,0,1,0,1
128,1,2,2,53042,1,50.06,47,0,0,0,1,0,0,0,0,0,1,1,0,1,0
129,0,1,0,106195,0,55.41,33,1,0,0,0,0,0,1,0,0,0,1,0,0,1
130,1,2,2,106360,1,51.7,51,0,0,0,1,0,0,1,0,0,0,1,0,1,0
131,1,2,1,110288,1,54.03,45,0,0,0,1,0,0,1,0,0,0,0,1,1,0
132,0,1,0,112590,1,52.71,31,0,1,0,0,0,0,1,0,0,0,0,1,0,1
133,1,0,2,30844,1,52.73,54,0,0,0,1,0,0,0,1,0,0,0,1,1,0
134,1,2,3,109611,0,51.0,63,0,1,0,0,0,0,1,0,0,0,0,1,1,0
135,1,2,0,111685,1,52.96,37,0,0,0,1,0,0,1,0,0,0,1,0,0,1
136,1,0,1,30259,1,49.14,65,0,1,0,0,0,0,0,1,0,0,1,0,0,1
137,0,2,0,82339,0,52.62,28,0,0,0,1,0,1,0,0,0,0,0,1,0,1
138,1,1,0,87633,1,61.12,42,0,0,1,0,0,1,0,0,0,0,0,1,0,1
139,0,1,0,80782,1,51.66,34,0,1,0,0,0,1,0,0,0,0,0,1,0,1
140,1,1,2,57125,1,48.74,47,0,0,0,1,0,0,0,0,0,1,1,0,1,0
141,0,2,0,56092,1,50.33,43,1,0,0,0,0,0,0,0,0,1,0,1,0,1
142,1,2,0,131943,1,52.71,44,0,1,0,0,0,0,0,0,1,0,1,0,1,0
143,1,2,2,52627,0,50.78,54,0,0,0,0,1,0,0,0,0,1,0,1,1,0
144,1,1,2,26331,0,53.52,43,0,0,0,1,0,0,0,1,0,0,0,1,1,0
145,0,1,0,27908,0,48.73,29,1,0,0,0,0,0,0,1,0,0,0,1,0,1
146,0,1,0,56751,0,60.78,38,0,0,1,0,0,0,0,0,0,1,0,1,0,1
147,1,1,2,32619,1,57.06,50,1,0,0,0,0,0,0,1,0,0,0,1,1,0
148,1,3,0,105983,0,51.26,38,1,0,0,0,0,0,1,0,0,0,1,0,1,0
149,1,1,2,128877,1,52.95,33,0,1,0,0,0,0,0,0,1,0,1,0,1,0
150,1,2,1,55000,1,49.93,59,0,0,1,0,0,0,0,0,0,1,1,0,0,1
151,0,1,0,50910,0,48.8,28,0,0,1,0,0,0,0,0,0,1,1,0,0,1
152,1,2,1,57493,1,52.42,38,0,0,0,1,0,0,0,0,0,1,0,1,1,0
153,1,0,1,82095,1,53.16,61,0,0,0,1,0,1,0,0,0,0,1,0,0,1
154,0,2,0,136001,0,56.7,28,1,0,0,0,0,0,0,0,1,0,0,1,0,1
155,1,3,0,104443,1,51.04,36,1,0,0,0,0,0,1,0,0,0,1,0,1,0
156,0,1,0,59013,0,49.99,39,0,0,0,1,0,0,0,0,0,1,1,0,0,1
157,0,1,0,54240,0,56.33,44,0,0,0,1,0,0,0,0,0,1,0,1,0,1
158,1,3,2,103150,1,50.8,56,1,0,0,0,0,0,1,0,0,0,1,0,1,0
159,1,3,2,108823,1,53.12,43,0,0,0,1,0,0,1,0,0,0,1,0,1,0
160,0,2,0,77300,0,53.95,27,0,0,1,0,0,1,0,0,0,0,1,0,0,1
161,1,2,1,82308,1,49.8,46,0,0,0,1,0,1,0,0,0,0,1,0,1,0
162,1,1,0,129719,0,56.22,46,0,1,0,0,0,0,0,0,1,0,1,0,0,1
163,0,0,0,36588,0,46.38,28,0,0,0,1,0,0,0,1,0,0,0,1,0,1
164,1,3,0,81053,0,50.38,46,0,0,0,1,0,1,0,0,0,0,1,0,0,1
165,1,0,2,35160,1,48.62,52,0,0,1,0,0,0,0,1,0,0,1,0,1,0
166,1,1,0,57655,0,57.32,47,0,0,1,0,0,0,0,0,0,1,0,1,0,1
167,1,2,1,61513,1,57.36,49,0,0,0,0,1,0,0,0,0,1,0,1,1,0
168,0,0,0,57933,1,48.84,23,0,0,1,0,0,0,0,0,0,1,0,1,1,0
169,0,2,0,104429,1,54.84,30,1,0,0,0,0,0,1,0,0,0,0,1,0,1
170,1,0,2,32494,1,52.5,52,0,0,1,0,0,0,0,1,0,0,0,1,1,0
171,0,2,0,51293,0,48.28,25,0,0,1,0,0,0,0,0,0,1,1,0,1,0
172,1,3,2,78805,1,49.99,58,0,0,0,1,0,1,0,0,0,0,0,1,1,0
173,0,1,0,33244,0,48.21,24,0,0,0,0,1,0,0,1,0,0,0,1,0,1
174,1,1,1,30115,1,59.27,41,0,0,0,1,0,0,0,1,0,0,0,1,1,0
175,1,1,1,55404,1,50.3,57,0,0,0,1,0,0,0,0,0,1,0,1,0,1
176,0,0,0,34165,0,47.46,51,0,0,0,1,0,0,0,1,0,0,1,0,0,1
177,1,2,2,57132,1,53.79,47,0,0,1,0,0,0,0,0,0,1,0,1,1,0
178,1,2,0,132560,0,52.2,34,0,1,0,0,0,0,0,0,1,0,0,1,0,1
179,1,1,2,53062,1,54.72,49,0,0,1,0,0,0,0,0,0,1,0,1,1,0
180,1,0,2,79950,1,52.93,61,1,0,0,0,0,1,0,0,0,0,1,0,1,0
181,1,2,1,83167,1,57.56,41,1,0,0,0,0,1,0,0,0,0,0,1,1,0
182,1,0,0,77729,1,51.78,41,0,0,0,1,0,1,0,0,0,0,0,1,0,1
183,1,1,1,54058,1,48.36,50,0,0,0,1,0,0,0,0,0,1,1,0,1,0
184,1,1,2,87071,1,50.5,44,0,1,0,0,0,1,0,0,0,0,1,0,1,0
185,0,0,0,26818,0,47.15,29,0,0,1,0,0,0,0,1,0,0,1,0,0,1
186,1,0,2,52630,1,49.83,50,1,0,0,0,0,0,0,0,0,1,0,1,1,0
187,1,2,2,83410,1,54.85,47,0,0,0,1,0,1,0,0,0,0,0,1,1,0
188,1,2,2,83299,1,51.33,43,0,0,0,1,0,1,0,0,0,0,1,0,1,0
189,1,1,1,54201,0,50.72,60,1,0,0,0,0,0,0,0,0,1,1,0,0,1
190,1,2,0,133136,1,53.04,37,0,1,0,0,0,0,0,0,1,0,1,0,0,1
191,0,2,0,60371,1,51.53,25,0,0,0,0,1,0,0,0,0,1,0,1,0,1
192,1,1,2,55220,1,48.65,47,0,0,0,1,0,0,0,0,0,1,1,0,1,0
193,1,1,2,85098,0,53.81,44,0,0,0,1,0,1,0,0,0,0,0,1,1,0
194,1,2,0,129013,1,54.8,35,1,0,0,0,0,0,0,0,1,0,0,1,0,1
195,0,2,0,106013,1,55.82,36,1,0,0,0,0,0,1,0,0,0,1,0,0,1
196,0,2,0,77922,1,51.39,27,0,0,0,1,0,1,0,0,0,0,1,0,0,1
197,1,3,0,104734,0,51.2,35,0,1,0,0,0,0,1,0,0,0,1,0,1,0
198,0,2,0,83202,0,53.98,30,0,0,0,1,0,1,0,0,0,0,1,0,0,1
199,1,1,2,61391,1,50.08,60,0,0,1,0,0,0,0,0,0,1,0,1,1,0
200,1,0,0,82687,0,52.24,52,0,0,1,0,0,1,0,0,0,0,1,0,0,1
201,0,1,0,83361,0,50.99,28,0,0,0,1,0,1,0,0,0,0,0,1,0,1
202,0,2,0,57161,1,47.93,29,1,0,0,0,0,0,0,0,0,1,1,0,1,0
203,1,3,2,109320,1,54.16,42,0,1,0,0,0,0,1,0,0,0,1,0,1,0
204,1,1,2,27866,0,58.64,44,0,0,0,1,0,0,0,1,0,0,0,1,1,0
205,1,1,0,53889,0,49.64,51,0,0,1,0,0,0,0,0,0,1,1,0,0,1
206,1,0,2,53916,1,48.5,56,0,0,0,0,1,0,0,0,0,1,0,1,1,0
207,0,1,0,56880,0,48.52,24,0,0,1,0,0,0,0,0,0,1,1,0,1,0
208,1,3,2,85533,1,53.51,47,0,0,1,0,0,1,0,0,0,0,1,0,1,0
209,1,1,0,109072,0,51.35,40,1,0,0,0,0,0,1,0,0,0,1,0,0,1
210,1,4,2,110148,0,52.17,42,0,1,0,0,0,0,1,0,0,0,0,1,1,0
211,1,2,2,103959,1,55.47,38,0,0,0,1,0,0,1,0,0,0,1,0,1,0
212,0,1,0,54230,0,49.34,24,0,0,1,0,0,0,0,0,0,1,1,0,0,1
213,1,2,0,133903,1,54.91,45,1,0,0,0,0,0,0,0,1,0,1,0,0,1
214,1,1,0,79311,1,57.12,41,1,0,0,0,0,1,0,0,0,0,0,1,0,1
215,1,2,2,84084,1,49.84,43,0,0,0,1,0,1,0,0,0,0,1,0,1,0
216,0,2,0,54821,1,51.55,34,1,0,0,0,0,0,0,0,0,1,0,1,0,1
217,1,2,2,77748,1,56.89,49,0,0,0,1,0,1,0,0,0,0,0,1,1,0
218,1,0,2,27122,0,46.82,57,0,0,1,0,0,0,0,1,0,0,0,1,1,0
219,0,0,0,62520,1,50.43,40,0,0,0,1,0,0,0,0,0,1,0,1,0,1
220,0,1,0,55096,0,48.2,25,0,0,0,1,0,0,0,0,0,1,1,0,0,1
221,1,2,2,83229,1,54.53,58,1,0,0,0,0,1,0,0,0,0,0,1,1,0
222,1,0,3,60347,0,48.28,64,1,0,0,0,0,0,0,0,0,1,1,0,1,0
223,0,0,1,27006,0,47.03,38,0,0,0,1,0,0,0,1,0,0,1,0,1,0
224,1,0,0,56071,0,53.02,55,0,0,1,0,0,0,0,0,0,1,0,1,0,1
225,1,0,0,51705,1,48.04,53,0,0,0,1,0,0,0,0,0,1,0,1,0,1
226,1,0,2,87993,1,61.69,37,0,1,0,0,0,1,0,0,0,0,0,1,1,0
227,1,2,2,81913,1,50.37,49,0,0,0,1,0,1,0,0,0,0,1,0,1,0
228,0,0,0,55838,1,51.84,40,1,0,0,0,0,0,0,0,0,1,1,0,0,1
229,0,1,0,32924,0,48.47,45,0,0,0,1,0,0,0,1,0,0,1,0,0,1
230,1,2,2,136633,1,52.44,44,1,0,0,0,0,0,0,0,1,0,1,0,1,0
231,1,1,3,28954,0,45.77,69,0,1,0,0,0,0,0,1,0,0,0,1,1,0
232,1,1,1,78271,0,54.57,43,0,0,0,1,0,1,0,0,0,0,0,1,1,0
233,0,0,0,54082,1,52.55,29,0,0,0,1,0,0,0,0,0,1,0,1,0,1
234,1,2,0,102019,1,51.15,42,0,0,0,1,0,0,1,0,0,0,1,0,0,1
235,1,1,2,58336,1,55.31,45,1,0,0,0,0,0,0,0,0,1,0,1,1,0
236,1,2,0,106235,1,50.93,36,1,0,0,0,0,0,1,0,0,0,0,1,1,0
237,1,1,2,132506,0,55.78,37,0,1,0,0,0,0,0,0,1,0,0,1,1,0
238,1,0,2,61547,1,52.04,46,0,0,0,1,0,0,0,0,0,1,1,0,1,0
239,1,2,1,134871,1,54.78,65,0,1,0,0,0,0,0,0,1,0,0,1,0,1
240,0,1,0,51970,0,48.52,34,0,0,1,0,0,0,0,0,0,1,1,0,0,1
241,1,3,0,129017,1,52.94,33,0,1,0,0,0,0,0,0,1,0,1,0,0,1
242,1,1,0,51980,0,49.82,54,0,0,1,0,0,0,0,0,0,1,1,0,0,1
243,0,1,0,107530,0,53.85,35,1,0,0,0,0,0,1,0,0,0,1,0,0,1
244,1,1,1,80444,1,49.84,33,0,1,0,0,0,1,0,0,0,0,0,1,1,0
245,1,2,0,105715,1,52.54,41,0,0,0,1,0,0,1,0,0,0,1,0,0,1
246,1,0,1,77151,1,53.76,68,0,1,0,0,0,1,0,0,0,0,0,1,0,1
247,1,1,2,81669,0,50.68,46,1,0,0,0,0,1,0,0,0,0,1,0,1,0
248,0,2,0,81432,0,53.33,37,0,1,0,0,0,1,0,0,0,0,1,0,0,1
249,0,0,0,34298,1,49.64,27,1,0,0,0,0,0,0,1,0,0,0,1,0,1
250,1,1,2,107934,0,50.55,45,1,0,0,0,0,0,1,0,0,0,1,0,1,0
251,0,2,0,109457,1,55.18,30,0,1,0,0,0,0,1,0,0,0,1,0,0,1
252,0,1,1,54266,1,48.71,34,1,0,0,0,0,0,0,0,0,1,0,1,1,0
253,0,0,0,26150,0,45.07,35,0,0,1,0,0,0,0,1,0,0,1,0,0,1
254,1,3,2,112302,1,65.29,37,0,1,0,0,0,0,1,0,0,0,0,1,1,0
255,1,3,1,81542,1,52.28,44,0,1,0,0,0,1,0,0,0,0,1,0,1,0
256,1,2,2,51854,1,48.96,52,0,0,1,0,0,0,0,0,0,1,0,1,1,0
257,0,0,0,54153,1,49.83,38,1,0,0,0,0,0,0,0,0,1,1,0,0,1
258,1,1,0,105736,0,60.95,40,1,0,0,0,0,0,1,0,0,0,0,1,0,1
259,0,2,0,54626,1,49.02,25,0,0,0,1,0,0,0,0,0,1,1,0,0,1
260,0,2,0,83144,1,49.95,25,1,0,0,0,0,1,0,0,0,0,0,1,1,0
261,1,2,2,135029,1,52.19,63,0,1,0,0,0,0,0,0,1,0,0,1,1,0
262,1,0,2,52476,1,48.37,57,1,0,0,0,0,0,0,0,0,1,1,0,1,0
263,1,0,0,84807,0,51.68,50,1,0,0,0,0,1,0,0,0,0,1,0,0,1
264,0,0,0,36634,1,47.45,28,0,0,1,0,0,0,0,1,0,0,1,0,0,1
265,0,3,0,84866,0,52.34,34,1,0,0,0,0,1,0,0,0,0,1,0,0,1
266,1,1,2,79867,1,51.3,33,1,0,0,0,0,1,0,0,0,0,0,1,1,0
267,1,0,2,51783,0,48.34,62,0,1,0,0,0,0,0,0,0,1,0,1,1,0
268,1,1,2,55768,1,49.91,60,0,1,0,0,0,0,0,0,0,1,1,0,1,0
269,1,2,2,80690,1,53.74,45,0,0,0,1,0,1,0,0,0,0,1,0,1,0
270,0,0,0,30247,1,46.58,30,0,0,1,0,0,0,0,1,0,0,1,0,1,0
271,1,2,2,83705,1,54.01,46,0,0,0,1,0,1,0,0,0,0,0,1,1,0
272,0,2,0,106597,0,50.76,33,1,0,0,0,0,0,1,0,0,0,1,0,0,1
273,0,0,2,60958,1,48.95,32,0,1,0,0,0,0,0,0,0,1,1,0,1,0
274,1,2,0,111130,1,63.85,38,1,0,0,0,0,0,1,0,0,0,0,1,0,1
275,1,0,1,53604,1,48.03,38,1,0,0,0,0,0,0,0,0,1,0,1,1,0
276,0,1,0,57269,0,48.55,29,0,0,1,0,0,0,0,0,0,1,1,0,1,0
277,0,2,0,61287,1,51.94,39,1,0,0,0,0,0,0,0,0,1,0,1,0,1
278,0,1,0,77098,0,49.88,27,0,0,1,0,0,1,0,0,0,0,1,0,0,1
279,0,2,0,52607,1,47.88,30,0,0,1,0,0,0,0,0,0,1,0,1,1,0
280,1,2,2,130743,1,56.86,50,1,0,0,0,0,0,0,0,1,0,0,1,1,0
281,1,0,2,59358,1,50.77,43,0,0,1,0,0,0,0,0,0,1,0,1,1,0
282,1,0,1,54025,1,58.93,50,0,0,1,0,0,0,0,0,0,1,0,1,1,0
283,1,2,2,79556,1,52.52,54,0,0,0,1,0,1,0,0,0,0,1,0,1,0
284,1,1,2,128521,0,52.14,64,1,0,0,0,0,0,0,0,1,0,1,0,1,0
285,1,1,2,51642,1,60.33,51,0,0,0,1,0,0,0,0,0,1,0,1,1,0
286,1,2,0,52484,1,48.06,51,0,0,0,1,0,0,0,0,0,1,1,0,0,1
287,0,0,0,30051,1,54.72,41,0,0,1,0,0,0,0,1,0,0,0,1,0,1
288,1,1,1,25495,0,46.72,46,0,0,0,0,1,0,0,1,0,0,1,0,1,0
289,1,2,2,136250,1,52.89,61,1,0,0,0,0,0,0,0,1,0,0,1,1,0
