,propietario_casa,#carros,niños_en_casa,niños_total,ingreso_anual,comprador_bici,gasto_mensual_medio,edad,escolaridad_cod,ocup_cod,genero_cod,civil_cod
275,1,0,0,1,53604,1,48.03,38,1,1,1,1
276,0,1,0,0,57269,0,48.55,29,3,1,2,1
277,0,2,0,0,61287,1,51.94,39,1,1,1,2
278,0,1,0,0,77098,0,49.88,27,3,2,2,2
279,0,2,0,0,52607,1,47.88,30,3,1,1,1
280,1,2,0,2,130743,1,56.86,50,1,5,1,1
281,1,0,1,2,59358,1,50.77,43,3,1,1,1
282,1,0,1,1,54025,1,58.93,50,3,1,1,1
283,1,2,1,2,79556,1,52.52,54,2,2,2,1
284,1,1,0,2,128521,0,52.14,63,1,5,2,1
285,1,1,1,2,51642,1,60.33,51,2,1,1,1
286,1,2,0,0,52484,1,48.06,51,2,1,2,2
287,0,0,0,0,30051,1,54.72,41,3,3,1,2
288,1,1,1,1,25495,0,46.72,46,5,3,2,1
289,1,2,1,2,136250,1,52.89,61,1,5,1,1
290,0,0,0,0,51351,1,50.49,43,1,1,2,2
291,1,2,0,0,134516,1,54.09,40,1,5,1,2
292,0,2,0,0,58340,1,47.92,30,2,1,1,1
293,1,3,1,2,78194,1,51.27,54,2,2,1,1
294,0,0,1,2,27849,0,44.95,33,4,3,1,1
295,0,0,0,0,31315,0,45.82,31,5,3,1,2
296,1,2,2,2,133103,1,55.68,35,4,5,2,1
297,0,1,0,0,85953,1,53.66,34,3,2,1,2
298,0,0,0,0,78356,1,53.89,38,3,2,2,2
299,1,2,0,0,132022,1,59.88,37,4,5,1,1
300,1,2,0,0,103281,1,52.11,39,1,4,2,1
301,0,0,0,0,36326,0,47.59,31,5,3,1,2
302,0,2,0,0,80632,1,51.45,38,1,2,2,2
303,1,1,0,1,54443,0,48.16,40,1,1,2,1
304,1,1,1,2,53720,1,51.27,38,2,1,1,1
305,1,2,2,2,138094,1,57.58,50,1,5,1,1
306,0,2,0,0,81168,0,53.38,39,1,2,2,2
307,1,0,0,2,110907,1,51.67,60,1,4,1,1
308,1,2,0,2,55051,0,48.71,56,2,1,1,1
309,1,1,1,2,60460,1,50.25,53,3,1,1,1
310,1,1,0,2,113065,0,56.2,48,2,4,1,1
311,0,2,0,0,78659,1,51.01,33,2,2,2,2
312,1,0,1,2,60825,1,49.8,38,3,1,2,1
313,0,0,0,0,51307,1,54.85,45,2,1,1,2
314,1,2,1,1,135850,1,53.04,62,4,5,2,2
315,0,1,0,0,56139,0,50.17,40,3,1,2,2
316,1,1,0,2,106292,1,54.08,53,2,4,1,1
317,1,0,1,2,86492,1,53.3,33,4,2,1,1
318,0,2,0,0,78270,1,49.89,35,1,2,2,2
319,1,2,1,2,76306,1,51.6,48,2,2,2,1
320,0,0,0,0,26611,0,49.1,29,5,3,1,2
321,0,1,0,0,53598,0,50.0,24,3,1,2,2
322,1,1,1,2,55540,1,48.25,53,5,1,2,1
323,1,2,0,0,138508,0,52.1,33,4,5,1,1
324,1,0,0,3,103553,1,50.42,64,4,4,2,1
325,1,2,0,0,106124,1,61.62,43,1,4,1,2
326,0,3,0,0,87137,0,50.42,26,2,2,1,1
327,1,0,0,1,53321,0,56.64,37,5,1,1,1
328,0,2,0,0,106613,1,51.41,34,1,4,2,2
329,1,0,0,0,53096,1,47.62,46,3,1,2,2
330,1,1,0,0,60793,1,52.1,47,5,1,1,2
331,0,1,0,0,30763,0,59.24,39,5,3,1,2
332,1,0,0,2,135185,0,52.68,37,4,5,2,1
333,1,1,0,0,57677,0,59.09,47,5,1,1,2
334,1,1,1,2,78065,1,59.07,47,1,2,1,1
335,1,2,1,2,82159,1,55.33,40,1,2,1,1
336,1,3,1,2,104925,1,60.88,39,1,4,1,1
337,0,2,0,0,53762,1,50.67,38,2,1,2,2
338,0,0,0,0,85651,0,50.85,27,1,2,2,1
339,1,1,1,1,78680,1,50.72,35,2,2,2,1
340,1,2,0,2,138681,1,53.75,42,4,5,1,1
341,0,0,0,0,86677,1,53.75,39,3,2,1,2
342,1,0,0,0,84713,1,50.43,44,2,2,2,2
343,1,3,0,0,102387,1,51.8,55,2,4,2,2
344,0,0,0,0,26017,0,47.35,33,5,3,1,2
345,0,2,0,0,78140,1,56.06,39,2,2,1,2
346,1,2,0,2,57071,0,49.02,49,2,1,2,1
347,1,1,0,1,36338,0,47.0,50,4,3,2,1
348,1,2,0,1,55936,0,48.44,38,1,1,2,1
349,0,2,0,0,59776,0,49.16,38,1,1,2,2
350,1,1,0,1,53200,0,50.59,58,5,1,2,2
351,1,0,2,2,33934,1,50.69,41,2,3,1,1
352,0,0,0,0,58601,0,49.56,34,4,1,1,2
353,0,3,0,0,78945,0,51.41,37,3,2,2,2
354,0,0,0,0,32044,0,48.07,27,3,3,2,2
355,1,2,1,1,112047,1,53.7,90,2,4,2,2
356,1,0,0,1,79952,1,49.27,31,3,2,1,1
357,1,1,0,2,35702,1,52.27,48,2,3,1,1
358,1,0,1,2,57286,1,48.22,55,2,1,2,1
359,0,0,0,1,57036,1,49.26,35,4,1,1,1
360,1,2,1,1,82552,1,52.33,55,1,2,2,1
361,1,1,1,2,130517,1,55.81,58,1,5,1,1
362,1,0,0,1,32990,1,48.65,60,1,3,1,2
363,0,1,0,0,35976,0,46.76,30,3,3,2,1
364,0,0,0,0,80570,1,52.34,37,4,2,2,2
365,1,1,0,2,58899,1,48.79,48,3,1,2,1
366,0,0,0,0,61956,0,52.08,30,5,1,2,2
367,1,1,0,2,27870,0,46.65,47,3,3,1,1
368,0,2,0,0,51704,1,52.13,37,1,1,1,2
369,0,0,0,0,105891,0,54.67,26,2,4,2,2
370,1,3,0,2,82216,1,49.39,42,2,2,2,1
371,0,1,0,0,58372,0,48.93,38,1,1,2,2
372,1,1,1,2,56626,1,52.89,67,2,1,2,1
373,1,2,0,1,53367,0,55.4,40,2,1,1,1
374,0,0,0,0,28750,0,45.95,26,5,3,1,2
375,1,2,0,2,59994,0,49.44,60,4,1,2,1
376,1,2,1,2,54516,1,51.71,58,3,1,1,1
377,0,1,0,0,53750,1,51.76,26,5,1,1,2
378,0,0,0,0,57716,1,52.75,35,1,1,2,2
379,0,0,0,0,28383,0,46.04,29,3,3,1,1
380,0,0,0,0,36569,0,51.24,30,5,3,1,2
381,1,3,2,2,109581,1,54.34,48,2,4,1,1
382,1,0,0,0,76776,1,50.13,55,2,2,2,2
383,1,2,0,0,137727,1,54.32,45,4,5,2,2
384,1,2,1,2,55340,1,51.74,47,2,1,2,1
385,0,1,0,0,27779,0,49.83,29,2,3,2,2
386,1,0,0,2,56833,1,51.51,54,1,1,1,1
387,0,0,0,0,33026,1,49.25,44,3,3,2,2
388,1,1,0,1,78520,0,50.52,32,2,2,2,1
389,1,1,0,3,54573,1,47.49,71,4,1,1,1
390,1,1,1,2,128329,1,61.65,44,4,5,1,1
391,1,0,1,2,57689,1,52.41,49,3,1,2,1
392,0,1,0,0,36575,1,46.85,26,2,3,2,1
393,1,0,0,0,32896,0,49.24,55,5,3,2,2
394,1,0,0,1,81432,1,51.21,45,1,2,1,1
395,1,1,1,2,34554,0,52.58,49,5,3,1,1
396,1,1,1,1,54375,1,50.17,59,3,1,1,2
397,1,2,2,2,111563,1,57.54,46,1,4,1,1
398,1,1,1,2,85889,1,52.65,56,2,2,1,1
399,0,0,0,0,62077,1,50.78,42,3,1,2,2
400,1,2,1,1,78344,1,59.05,42,3,2,1,1
401,1,0,1,2,52349,1,57.08,49,2,1,1,1
402,0,1,0,0,61820,0,50.47,32,5,1,2,2
403,1,3,1,2,128425,1,62.7,45,4,5,1,1
404,1,2,2,2,84402,1,53.02,42,1,2,2,1
405,1,1,0,0,108902,0,58.43,39,1,4,1,2
406,0,2,0,0,62372,1,48.62,36,1,1,1,2
407,1,3,0,0,133099,1,52.28,33,4,5,1,1
408,0,0,0,0,85962,1,54.34,28,3,2,2,2
409,1,2,0,2,129522,0,55.38,56,1,5,1,1
410,1,1,1,1,34135,1,47.29,52,2,3,2,1
411,1,0,0,1,59521,0,55.15,38,3,1,1,1
412,1,1,1,2,34487,1,48.22,45,4,3,2,1
413,0,1,0,0,54306,1,50.16,23,5,1,1,2
414,1,2,0,0,79606,0,53.6,50,4,2,2,2
415,0,1,0,0,77126,1,56.14,37,4,2,1,2
416,0,1,0,0,59362,1,51.25,44,2,1,1,2
417,0,1,0,0,34019,0,47.17,31,5,3,2,2
418,1,2,0,0,129567,1,56.05,35,4,5,2,2
419,0,2,0,0,60667,1,54.42,38,2,1,1,2
420,1,2,0,2,138022,0,52.27,70,4,5,2,1
421,0,1,0,0,53629,0,50.52,27,2,1,2,2
422,1,0,0,0,107890,1,60.61,44,4,4,1,2
423,0,0,0,0,83477,0,52.7,27,2,2,1,2
424,0,0,0,0,25978,0,47.12,27,2,3,2,2
425,1,2,0,2,57948,0,48.43,57,2,1,2,1
426,0,0,0,0,27626,0,46.56,27,1,3,1,2
427,1,0,0,1,52502,1,48.7,45,4,1,2,1
428,1,0,0,2,32859,0,45.89,54,3,3,2,1
429,0,0,0,2,34470,1,47.09,38,4,3,2,1
430,1,0,0,2,33994,1,45.66,55,2,3,1,1
431,0,2,0,0,56889,0,50.49,33,2,1,2,2
432,0,0,0,0,31101,1,49.86,36,1,3,1,2
433,1,2,1,2,79698,1,50.87,45,2,2,2,1
434,1,2,1,2,110846,1,54.4,42,2,4,2,1
435,0,1,0,0,57466,0,50.07,32,5,1,2,2
436,1,1,1,2,57090,1,49.65,52,5,1,2,1
437,0,3,0,0,82037,0,53.06,27,3,2,2,2
438,0,2,0,0,52717,1,53.41,44,1,1,1,2
439,0,3,0,0,79118,0,54.45,25,2,2,2,2
440,0,1,2,2,36501,1,49.32,38,4,3,2,1
441,0,0,0,0,86737,1,54.73,36,2,2,2,2
442,1,0,1,2,58529,1,52.36,45,1,1,1,1
443,1,3,1,1,107870,1,54.49,62,1,4,2,2
444,0,1,0,1,58953,0,49.24,31,1,1,1,1
445,1,2,1,2,77607,1,59.43,55,2,2,1,1
446,1,2,0,3,59464,0,48.8,68,2,1,1,1
447,0,2,0,0,57786,1,48.42,30,3,1,1,1
448,0,1,0,1,31877,0,45.99,31,3,3,1,1
449,1,0,0,3,53308,1,48.79,90,3,1,2,1
450,1,3,0,0,137943,1,53.09,32,4,5,2,1
451,1,2,0,0,106718,0,54.84,41,2,4,2,2
452,1,1,0,0,61966,1,58.95,47,5,1,1,2
453,0,0,0,0,59016,0,51.56,36,5,1,2,2
454,0,2,0,0,57754,1,48.17,44,2,1,2,2
455,1,1,0,0,87499,0,50.38,42,2,2,2,2
456,0,3,0,0,109789,1,56.08,25,2,4,2,2
457,1,3,0,0,104035,1,50.96,35,1,4,2,1
458,1,2,0,0,78413,1,58.54,43,2,2,1,2
459,1,2,0,2,78396,0,57.17,41,1,2,1,1
460,1,0,0,2,54441,1,48.93,58,1,1,1,1
461,0,0,0,0,28711,0,49.9,48,2,3,1,2
462,0,3,0,0,129067,1,56.02,30,4,5,2,2
463,1,1,1,2,105772,1,55.16,66,1,4,1,1
464,1,1,0,1,83057,0,53.46,62,2,2,1,2
465,1,1,1,2,56598,1,49.14,38,3,1,1,1
466,0,1,1,2,33503,1,48.4,37,1,3,2,1
467,1,2,0,0,135358,1,54.12,41,4,5,1,1
468,0,2,0,0,110952,1,54.93,35,1,4,2,2
469,1,3,0,0,136281,0,52.04,35,4,5,1,2
470,1,0,0,1,134033,1,55.46,68,4,5,2,2
471,1,1,1,2,129502,1,55.27,65,4,5,1,1
472,0,0,0,0,58387,1,49.15,30,3,1,1,2
473,1,3,0,0,102948,0,51.16,40,1,4,2,2
474,1,2,0,0,131323,1,51.91,36,1,5,1,1
475,1,2,0,2,77470,0,50.18,67,1,2,2,1
476,1,2,0,0,129777,1,52.31,32,4,5,2,1
